day_month,month,cases,deaths,recuperados,ativos,internados hoje,day_since_1st,weekday,new_cases,new_cases_avrg,daily_change_avrg
18,3,1,,,1,,0,wed,1,,
19,3,1,,,-1,,1,thu,0,,
20,3,1,,,-1,,2,fri,0,,
21,3,1,,,-1,,3,sat,0,,
22,3,1,,,-1,,4,sun,0,,
23,3,1,,,-1,,5,mon,0,,
24,3,1,,,-1,,6,tue,0,0.1,0.00
25,3,2,,,-1,,7,wed,1,0.2,1.40
26,3,2,,,-1,,8,thu,0,0.2,1.11
27,3,2,,,-1,,9,fri,0,0.1,0.64
28,3,2,,,-1,,10,sat,0,0.1,1.00
29,3,2,,,-1,,11,sun,0,0.1,1.00
30,3,2,,,-1,,12,mon,0,0.1,1.00
31,3,2,,,-1,,13,tue,0,0.1,1.00
1,4,2,,,-1,,14,wed,0,0.0,0.00
2,4,2,,,-1,,15,thu,0,0.0,0.00
3,4,3,,,-1,,16,fri,1,0.1,0.00
4,4,3,,,-1,,17,sat,0,0.1,1.00
5,4,3,,,-1,,18,sun,0,0.1,1.00
6,4,6,,,-1,,19,mon,3,0.6,4.00
7,4,7,,,-1,,20,tue,1,0.7,1.25
8,4,7,,,-1,,21,wed,0,0.7,1.00
9,4,9,,,-1,,22,thu,2,1.0,1.40
10,4,10,,,-1,,23,fri,1,1.0,1.00
11,4,12,,,-1,,24,sat,2,1.3,1.29
12,4,12,,,-1,,25,sun,0,1.3,1.00
13,4,12,,,-1,,26,mon,0,0.9,0.67
14,4,14,,,-1,,27,tue,2,1.0,1.17
15,4,14,,,-1,,28,wed,0,1.0,1.00
16,4,14,,,-1,,29,thu,0,0.7,0.71
17,4,14,,,-1,,30,fri,0,0.6,0.80
18,4,14,,,-1,,31,sat,0,0.3,0.50
19,4,14,,,-1,,32,sun,0,0.3,1.00
20,4,20,,,-1,,33,mon,6,1.1,4.00
21,4,25,,,-1,,34,tue,5,1.6,1.38
22,4,26,,,-1,,35,wed,1,1.7,1.09
23,4,28,,,-1,,36,thu,2,2.0,1.17
24,4,29,,,-1,,37,fri,1,2.1,1.07
25,4,29,,,-1,,38,sat,0,2.1,1.00
26,4,30,,,-1,,39,sun,1,2.3,1.07
27,4,31,,,-1,,40,mon,1,1.6,0.69
28,4,31,,,-1,,41,tue,0,0.9,0.55
29,4,35,,,-1,,42,wed,4,1.3,1.50
30,4,36,,,-1,,43,thu,1,1.1,0.89
1,5,36,,,-1,,44,fri,0,1.0,0.88
2,5,39,,,-1,,45,sat,3,1.4,1.43
3,5,39,,,-1,,46,sun,0,1.3,0.90
4,5,41,,,-1,,47,mon,2,1.4,1.11
5,5,41,,,-1,,48,tue,0,1.4,1.00
6,5,42,,,-1,,49,wed,1,1.0,0.70
7,5,45,,,-1,,50,thu,3,1.3,1.29
8,5,46,,,-1,,51,fri,1,1.4,1.11
9,5,48,,,-1,,52,sat,2,1.3,0.90
10,5,49,,,-1,,53,sun,1,1.4,1.11
11,5,51,,,-1,,54,mon,2,1.4,1.00
